molecule_chembl_id,smiles,IC50 value
CHEMBL2348635,C[C@@H](C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1)c1ccccc1,28
CHEMBL2348633,CC(C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1)c1ccccc1,130
CHEMBL2348629,C[C@H](Oc1cccc(Cl)c1Cl)C(=O)Nc1cc(Cl)c2oc(-c3ccncc3)nc2c1,600
CHEMBL2348628,C[C@H](Oc1cccc(Cl)c1Cl)C(=O)Nc1ccc2nc(-c3cncs3)oc2c1,60
CHEMBL2348627,C[C@H](Oc1cccc(Cl)c1Cl)C(=O)Nc1ccc2nc(-c3ccncc3)oc2c1,4
CHEMBL2348807,C[C@H](Oc1cccc2ccccc12)C(=O)Nc1ccc2oc(-c3ccc[nH]3)nc2c1,50
CHEMBL2348806,C[C@H](Oc1cccc(Cl)c1Cl)C(=O)Nc1ccc2oc(-c3nccs3)nc2c1,30
CHEMBL2348805,CC(Oc1ccc(Cl)c2ccccc12)C(=O)Nc1ccc2oc(-c3cncs3)nc2c1,70
CHEMBL2348804,C[C@H](Oc1cccc2ccccc12)C(=O)Nc1ccc2oc(-c3cncs3)nc2c1,4
CHEMBL2348803,C[C@H](Oc1cccc(Cl)c1Cl)C(=O)Nc1ccc2oc(-c3cncs3)nc2c1,2.3
CHEMBL2348802,CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc2oc(-c3ccccn3)nc2c1,800
CHEMBL2348801,CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc2oc(-c3cccnc3)nc2c1,600
CHEMBL2348799,COc1cccc(O[C@@H](C)C(=O)Nc2ccc3oc(-c4ccncc4)nc3c2)c1OC,60
CHEMBL2348798,C[C@H](Oc1cccc([N+](=O)[O-])c1Cl)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,6
CHEMBL2348797,C[C@H](Oc1cccc(C(F)(F)F)c1Cl)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,52
